hinglish	hindi	status	source	category	notes
ek	एक	APPROVED	content/content_registry.json:num_01	NUMERAL	Canonical numeral 1
do	दो	APPROVED	content/content_registry.json:num_02	NUMERAL	Canonical numeral 2
teen	तीन	APPROVED	content/content_registry.json:num_03	NUMERAL	Canonical numeral 3
tin	तीन	APPROVED	content/content_registry.json:num_03	NUMERAL	Spelling variant for numeral 3
chaar	चार	APPROVED	content/content_registry.json:num_04	NUMERAL	Canonical numeral 4
char	चार	APPROVED	content/content_registry.json:num_04	NUMERAL	Spelling variant for numeral 4
paanch	पाँच	APPROVED	content/content_registry.json:num_05	NUMERAL	Canonical numeral 5
panch	पाँच	APPROVED	content/content_registry.json:num_05	NUMERAL	Spelling variant for numeral 5
chhah	छह	APPROVED	content/content_registry.json:num_06	NUMERAL	Canonical numeral 6
chhe	छह	APPROVED	content/content_registry.json:num_06	NUMERAL	Spelling variant for numeral 6
chheh	छह	APPROVED	content/content_registry.json:num_06	NUMERAL	Spelling variant for numeral 6
saat	सात	APPROVED	content/content_registry.json:num_07	NUMERAL	Canonical numeral 7
sat	सात	APPROVED	content/content_registry.json:num_07	NUMERAL	Spelling variant for numeral 7
aath	आठ	APPROVED	content/content_registry.json:num_08	NUMERAL	Canonical numeral 8
ath	आठ	APPROVED	content/content_registry.json:num_08	NUMERAL	Spelling variant for numeral 8
nau	नौ	APPROVED	content/content_registry.json:num_09	NUMERAL	Canonical numeral 9
now	नौ	APPROVED	content/content_registry.json:num_09	NUMERAL	Phonetic variant for numeral 9
das	दस	APPROVED	content/content_registry.json:num_10	NUMERAL	Canonical numeral 10
dus	दस	APPROVED	content/content_registry.json:num_10	NUMERAL	Spelling variant for numeral 10
gyarah	ग्यारह	APPROVED	content/content_registry.json:num_11	NUMERAL	Canonical numeral 11
gyara	ग्यारह	APPROVED	content/content_registry.json:num_11	NUMERAL	Spelling variant for numeral 11
barah	बारह	APPROVED	content/content_registry.json:num_12	NUMERAL	Canonical numeral 12
bara	बारह	APPROVED	content/content_registry.json:num_12	NUMERAL	Spelling variant for numeral 12
terah	तेरह	APPROVED	content/content_registry.json:num_13	NUMERAL	Canonical numeral 13
tera	तेरह	APPROVED	content/content_registry.json:num_13	NUMERAL	Spelling variant for numeral 13
chaudah	चौदह	APPROVED	content/content_registry.json:num_14	NUMERAL	Canonical numeral 14
chauda	चौदह	APPROVED	content/content_registry.json:num_14	NUMERAL	Spelling variant for numeral 14
pandrah	पंद्रह	APPROVED	content/content_registry.json:num_15	NUMERAL	Canonical numeral 15
pandra	पंद्रह	APPROVED	content/content_registry.json:num_15	NUMERAL	Spelling variant for numeral 15
