MUNDARI{AuA.MUNDA|Austro-Asiatic,Munda,NorthMunda,Kherwari,Mundari@Austroasiatic,Mundaic,NorthMunda,Kherwarian,Mundaric,Ho-Mundari}
 1   23.00   84.67     1164610   mun   unr
1 I	ain //
2 you	am //
3 we	ale //
4 this	ni i7 //
5 that	han i7 //
6 who	okoy //
7 what	Ca na //
8 not	ka //
9 all	soben //
10 many	bese //
11 one	miyod //
12 two	bar //
13 big	maraN //
14 long	ZiliN //
15 small	kuniN //
16 woman	kuri //
17 man	kora //
18 person	horo //
19 fish	hai //
20 bird	Cene //
21 dog	seta //
22 louse	si ku //
23 tree	daru //
24 seed	hita //
25 leaf	sakam //
26 root	red //
27 bark	harta //
28 skin	ur //
29 flesh	Zilu //
30 blood	mayam //
31 bone	ZaN //
32 grease	itil //
33 egg	Zarom //
34 horn	diriN //
35 tail	Cadlom //
36 feather	il //
37 hair	up //
38 head	bo7 //
39 ear	lutur //
40 eye	med //
41 nose	mu* //
42 mouth	moCa //
43 tooth	data //
44 tongue	le7 //
45 claw	rama //
46 foot	kata //
47 knee	mukuri //
48 hand	ti //
49 belly	laZ //
50 neck	hoto7 //
51 breast	nunu //
52 heart	Zi kuram //
53 liver	im //
54 drink	nu //
55 eat	Zom //
56 bite	hua //
57 see	lel //
58 hear	ayum //
59 know	itu //
60 sleep	durum //
61 die	goZu7 //
62 kill	gie7 //
63 swim	oyar //
64 fly	apir //
65 walk	sen //
66 come	hiZu7 //
67 lie	giti7 //
68 sit	dub //
69 stand	tiNgu //
70 give	om //
71 say	men //
72 sun	siNgi //
73 moon	Cand~u7 //
74 star	ipil //
75 water	da7 //
76 rain	gama //
77 stone	diri //
78 sand	gitil //
79 earth	ote //
80 cloud	rimil //
81 smoke	sukul //
82 fire	seNgel //
83 ash	toroe7 //
84 burn	ro //
85 path	hora //
86 mountain	buru //
87 red	ara7 //
88 green	gaded //
89 yellow	sa saN //
90 white	pund~i //
91 black	hend~e //
92 night	nida //
93 hot	lolo //
94 cold	tutukan //
95 full	pura //
96 new	nawa //
97 good	bugi //
98 round	gol //
99 dry	roro //
100 name	nutum, num //
